"sam1","sam2","n1","n2","coph","dna","ess"
8398494,8038555,90422,37217,4400,1.38365148514289,0.0354352227521871
11350971,14748099,290337,334051,2600,1.20892618894007,0.0118451738902557
4549233,9955539,32987,13762,8100,1.07067135604161,0.0115993744901196
12649803,8375275,85856,113666,5400,1.61979633916794,0.010092600599787
12824379,5481206,264221,21875,16816.6666666667,0.159122471832164,0.00225153781389353
11932600,776925,91411,26059,3400,1.81209512655087,0.0235832919788377
10504632,5951402,51922,16376,2500,0.173888420844251,0.0184300162400001
12205746,15789346,119653,409388,3000,0.306561752717998,0.0064516015423467
2141081,14429045,32021,41666,3400,1.44326744143589,0.00629178514485129
6116720,9378202,27153,296254,14600,1.79347989145025,0.00373985633894713
12761889,8712537,346720,122782,3000,0.710891153421368,0.0247572784234015
16736644,10105873,18027,194039,13000,0.0965917506162544,0.0184592168413645
4278257,4649437,33878,27153,3200,0.726816858727253,0.00653398353140466
1061629,13798183,36097,204361,1100,0.545278318588566,0.020625117536875
16611647,8664016,202120,29790,900,1.95520026209888,0.0193740808637339
8404253,12822950,115415,264221,12800,0.00142217430718072,0.00457806964490759
13492210,10680062,44208,180424,2100,0.7841005002208,0.0160506421769312
4636488,5730564,29790,36097,800,0.418529845206243,0.0047391927796957
15070237,5097449,337188,94058,1000,0.18200818652978,0.0076982006630727
14150456,15285294,279465,86376,600,0.0563658748009067,0.00565473801570449
11562237,11498785,385653,363492,3000,0.0125639370850887,0.0122973257275009
14613206,3510075,63407,37773,600,0.536056158153217,0.00566666081298994
15504254,15146916,403375,410613,2000,0.011278065998133,0.0237331690372132
5860808,12738546,43325,352603,2600,1.48444769172602,0.0287228805719717
401882,1837060,22301,36097,900,0.00386287267257324,0.0113575034603407
16804995,4344430,455843,50408,3200,1.77690284934458,0.0167249974500955
10436011,14324952,14005,56662,3100,1.09675193124519,0.0190955516493885
6142312,16149013,81985,27153,200,1.98344776088262,0.00732326934130589
3026034,14422890,27383,14005,2900,1.99986339586777,0.01087243004377
15384453,198984,44116,28852,300,0.174174895153786,0.00917246773459113
16788788,7002361,130817,129,3500,1.88171015925585,0.0294179209160454
13219225,13042000,56662,363492,2800,0.240564474655929,0.0197785883867032
7529641,12435990,28651,352967,6800,0.569108212834165,0.00827115712234849
11772556,16480253,68909,32021,2600,0.257935611247647,0.0205482913047942
66808,3507193,16,26059,14000,0.327664157601367,0.00951781279939079
11037315,5333209,348555,36097,3000,1.48002403380718,0.0181245393853134
7497606,870491,84434,27383,3000,0.0896033747651857,0.00915470660764151
14679915,4740983,37792,177180,1500,0.718003212897524,0.00485931500769043
1896402,2240091,36097,36097,0,0.0156255654555806,0.0053688914766159
8382127,6065869,88786,17554,6400,0.168959814812485,0.00402762816014979
14399816,5001911,1350826,14005,4000,1.9989583671106,0.00822904715379269
737899,8043020,26059,109,4900,1.59564081252372,0.0255906579571574
7392391,11603412,118308,21889,5800,0.025638512968126,0.00662329218265334
9698183,9815586,179171,120966,12100,0.0292651080114879,0.00758808828328816
2945094,6373694,26059,22301,400,1.99063028288469,0.00602220949709842
8310501,12693251,76,16376,4800,0.90295650701491,0.0128923346009279
16464265,16484035,36097,36097,0,0,0.000460465818780564
189601,5416573,28852,28586,200,0.058324893387559,0.0150869511278408
2449700,8191076,36097,12855,3600,1.44380200648901,0.0203048403905779
16661422,12363533,86376,348555,3000,0.779630594317798,0.00644387103350141
8966445,14190609,118936,44116,2500,1.32207686083382,0.0186931347679151
15867152,16159447,22301,1314791,1600,0.00132583925883811,0.0149252125322548
4070493,12834351,24962,24867,6100,1.97055959201428,0.00847153137002055
16110152,10965022,409473,169910,2100,1.13811602737883,0.00490389028378779
13750397,7131593,401109,103152,3200,0.0102397156039287,0.0182335431095584
2186711,12779701,36097,207442,2400,1.66162274854815,0.0159432953502322
6374267,3858250,22301,32987,900,1.3566082750228,0.0040025015547458
9597538,2918224,322132,19280,12700,0.0056327666853726,0.00871450782193883
2125158,8280078,28913,14005,2700,1.83150649415072,0.00279624652317623
2808293,2715683,60236,36097,1800,8.60979999872669e-05,0.00643541101494083
13534565,3323480,32752,22301,500,0.684874819112763,0.00538366386748945
12854896,2355271,64843,36211,9300,1.85510148106583,0.00807800224150468
12000351,2062692,170620,36097,2100,1.4366692099593,0.0192789034890078
1579375,12002226,36097,348555,3000,1.82060863762816,0.0127589423114969
1505922,373403,36097,32987,1000,0.32085034404653,0.00430615390004574
1802618,14662763,41457,27153,3200,1.83863415530425,0.00736207895362129
15306209,4409260,238362,32987,1200,0.848985712312938,0.00729197873439591
4144417,6245659,22301,51281,1200,1.87254755712836,0.00183371859619474
15570236,6191393,36097,104944,1000,1.95952179449237,0.00822148369669939
3909507,7468031,32987,129,5000,0.645859414006098,0.0171178674938784
2602441,9292460,36097,59972,4100,0.445377208259143,0.0123410513157189
3835822,8269954,32987,94933,800,0.487035205676536,0.00353608417837847
12143198,893464,68909,27346,1500,0.158952297822372,0.0150677048736361
16043446,3498005,29362,177180,5000,1.00130535083084,0.0184896233090946
7664949,1558086,94933,36097,1000,1.12975475621885,0.00590072131870945
15325476,11490215,236315,363492,2400,0.674429138153769,0.021227104105724
13390358,6620050,1206,46135,3100,1.7838786947422,0.0273296001136781
9310627,8877437,71260,81579,6500,1.99913205188852,0.0111848398524494
13401337,8180060,129,149,500,1.95993965460191,0.0257239717357886
1460170,28002,22446,4348,8700,1.89099174022911,0.00755308326987614
4031926,13947895,32987,14005,3300,1.44289874330596,0.0246133791926334
1963727,2936500,36097,32462,600,0.0336410784379081,0.00896901370124614
12646086,8905517,16,26767,10900,1.62621692007639,0.0156714873301914
2960802,2304425,33878,36097,3600,1.66991680221007,0.00350581120685123
992539,7477280,36097,27153,600,1.71244029712648,0.00840426886939005
3918752,2184883,32987,36097,1000,0.694178128739393,0.00877252211531765
14732036,383149,261462,32987,700,1.24174765523752,0.0300387300509963
15591490,5798427,19280,26259,1800,1.79602168477723,0.00420385556764968
6950221,5506137,93350,24962,2200,0.967284898901922,0.0398511252137511
4703973,13894216,44500,21458,1000,0.933141028397384,0.00757646418714308
3032898,8805470,27383,18397,5400,0.0172085236328209,0.000794662517787592
987638,5657353,36097,32987,1000,0.267418563632629,0.0114667171115396
3229329,1914824,32987,36097,1000,0.554703931976136,0.0098304715143257
2645888,8878810,32021,122913,800,1.84421104947574,0.00822148369669939
2773850,10637322,19280,1051646,3000,1.05069614840251,0.0229495317319218
16416435,11276909,36097,315301,2800,1.00697322823287,0.0205482913047942
15307512,13935931,256510,16376,1300,0.217284962556915,0.0201666335004431
405112,8689400,24962,122782,600,1.55916636919195,0.00598573488545828
15477943,7649954,21458,94933,1000,1.94625227059447,0.0268572110178067
6232754,3564634,14005,27153,2900,1.20844231165722,0.0051665734052837
7990065,2565580,123943,36097,8200,1.94061269678909,0.0118908377089989
13048143,1741432,363492,28852,2600,1.45995018374898,0.0225131156755292
8228872,14366098,51281,11538,3100,1.99230255677439,0.0439403767623322
9499415,15359617,223097,24962,14000,0.0171729834009734,0.00496771028254295
1377440,9913765,34104,15219,7800,1.98666234116628,0.00627487646450198
4109507,69141,62929,12110,6700,0.00634574021992906,0.0119921562883549
2322866,14562290,36097,408751,1800,0.114189155259972,0.0156561526561207
13790253,2691148,18027,36097,1500,0.187927648998103,0.0127021273429152
2441760,15942194,69339,44208,3000,1.66397577043677,0.00732174821194354
285960,3541774,18027,27153,1100,0.885453550540986,0.0323396098751435
10123032,1020938,156699,36097,14100,0.0415357126725789,0.00380611395889607
11831909,5690150,14005,36097,3300,0.417558632287778,0.0212079309922488
5407285,5970712,19280,47550,1900,0.779278890532892,0.0190174682113441
5359587,8959340,28852,93320,2400,1.649927671251,0.0205482913047942
4321681,5824035,32987,24962,600,0.609179030466849,0.00288127860732801
12966958,11347248,363492,14005,3300,0.31355093692592,0.00180854364698169
4036506,1195701,32987,109,5400,0.525195449521783,0.0139170258835665
15125092,3362486,410613,85330,3600,1.81652435304461,0.00369622109272649
10024667,4610797,120999,39672,2400,0.0810432645404848,0.00900268953896677
13526646,1910528,29331,36097,1200,0.0925684637891192,0.00570283177136888
15044235,13029791,283124,363492,2600,0.403438970678058,0.0221694841559371
7084195,4325605,103152,29790,600,0.849418899560114,0.00101254953525076
13865579,4328555,27153,29790,200,1.80123990421149,0.00654516044921305
11450895,8412443,363492,115415,8200,1.54470994256847,0.0205589547319669
14508993,15394934,22301,19280,1400,0.00229305136713209,0.00196320129366256
6118198,12745675,27153,352603,2600,1.14906797166916,0.0272218851090633
10290704,14264165,150582,22301,13200,0.00240559560680242,0.00612928683639546
14114008,11278278,401522,119653,3000,0.726172977730947,0.025377689073984
569066,2234508,22301,142461,1600,0.315857900089414,0.0103760052627279
14498886,2272957,22301,36097,900,0.108591595414419,0.00164367192732784
9677914,1719136,121333,36097,12700,0.17659351334683,0.00359286374499812
6047099,7603702,22446,24962,2100,0.0896033747651857,0.00915470660764151
7600771,12085491,100358,76879,4800,1.06967099514141,0.0143128418409231
13188716,11418031,56662,363492,2800,0.287914486727488,0.0197785883867032
4408753,841264,32987,30236,3400,0.319943710325707,0.0130456689964416
10079159,12309480,121333,348555,12700,1.34191344576848,0.0184147533187912
273357,3083699,18027,100460,5700,1.99847310541968,0.0154847107829329
5967096,153861,86376,29790,1000,1.63517697839347,0.0185665590437361
9102706,7920226,44729,84482,7000,0.337169612305594,0.00809626941615849
4164761,15937271,55866,32752,1400,0.815936872307784,0.00538366386748945
13264942,3858551,1254512,32987,3900,1.07759614939073,0.0106657520634179
6528453,16884814,435524,329010,8700,1.87087043643313,0.00400504562167781
1930690,7229978,36097,32987,1000,0.730580959235401,0.0098304715143257
7538682,2777763,145744,65020,10800,1.90270622528722,0.0064092910993917
4593249,7425516,34378,22878,5100,0.761766886310533,0.0304637002522674
4288064,4421606,33878,32987,3600,0.362472614399141,0.00999251109276988
15492946,10206254,200578,316686,14500,0.0225919235284426,0.00577016354155824
6249910,1803420,39621,41457,17216.6666666667,0.0213702760707473,0.00886572322511814
7429628,4308205,28572,32987,6700,1.93814729379275,0.0354195324026144
36603,9475909,12110,312925,12700,1.11022302462516e-16,0.00829594592728566
14953832,8442374,19280,108124,5900,1.96081554046251,0.0192363059991189
4579778,8938134,18027,93320,1300,0.53905625644962,0.0229495317319218
7382417,10384043,26684,153571,10400,1.97463186931117,0.0114291908332331
5060860,2965801,55404,33878,3600,1.43921806008048,0.00581927098851232
1192019,9323174,149,216666,4100,1.6983761403771,0.0131387232382346
13935753,1546355,14005,309707,4000,0.700654126671656,0.0211600726065481
14037804,5232097,18027,36097,1500,0.111761721234637,0.00832805175111062
15053568,8260256,22301,94933,900,1.9984244472666,0.0199235813111714
3064428,7394214,52945,118308,9500,0.0215119238163142,0.0141704916459388
11516481,3427255,228710,27383,2700,1.9253138405263,0.01224520666999
76551,13384477,8896,196825,4700,0.027849472129798,0.0124226312776964
1892521,1928843,36097,36097,0,0.00449741423561512,0.00276101849986754
13662722,6926636,279522,16,14100,0.580267279478762,0.0230820200842113
87410,7051542,68,81579,7300,1.99913205188852,0.00989561451647447
773143,9734227,50408,255282,1600,1.1434373256597,0.0110096412851987
15890881,15088227,22301,64380,700,0.0635082261172922,0.0151684295735895
8994825,6089389,119251,84482,2800,1.70086152342664,0.0266619658498096
15079709,9096227,260801,97056,7500,1.98038598093686,0.0107679082608964
7660780,1386129,500310,38749,8500,0.0830887847795665,0.0122140072884933
16632333,135806,422992,29790,1800,1.47387497535958,0.0216450371065458
3184445,4567194,32987,32987,0,0.135441943824236,0.0042910817470333
15911007,9912836,135481,300766,17116.6666666667,0.0678257109974302,0.0236175020401718
4439427,6829988,129,454470,5700,0.106008392128821,0.00917320423818202
9601956,8868944,181284,122913,14400,1.95988873357471,0.00762369225794091
7131072,10905550,34708,56868,2400,0.734165803012492,0.0157024972526388
2489722,9305561,116214,71260,7400,0.263516868317069,0.0117980232309554
3585214,3897124,33207,12855,3200,1.45234780949366,0.0105618938307674
4723796,8296129,177180,18027,2200,1.86895809928851,0.00116452873977857
8340756,13097398,113666,35944,5900,1.51566619076763,0.035072462109379
14068909,14107348,256390,401522,1600,0.00229510230936714,0.00127293522635452
3479671,9356338,177180,216666,2100,0.432296647254747,0.0075385340267764
4987047,506454,32987,60379,600,0.00999777901140808,0.00429373614491813
438362,15106757,56529,44116,300,0.26044462912683,0.00982185573803684
895944,3347269,17428,85330,2000,1.99759318564013,0.0105301347638296
13956905,9117329,398009,68691,7600,1.99265991765488,0.00751554917642527
4390528,14229743,29790,44116,500,1.17587621213873,0.00790368087913362
1762372,7256560,26059,29790,300,1.0739724974197,0.00322672594629003
13192875,13308368,86376,424791,3200,0.0581360880754083,0.00182453729993171
16313238,12816449,359549,129,4800,1.96889464318743,0.00392340085479848
6286453,9068810,104582,123943,8000,0.406670833724924,0.00387361459233593
16626819,10549286,422992,87892,3000,0.314840965629566,0.00304494026234992
4375621,15440619,29790,240819,1200,1.66297345692567,0.0320960066555145
1482567,6803210,22446,48423,4800,1.90960650669894,0.0120395380736281
3845840,324320,32987,32987,0,0,-2.22044604925031e-16
1085777,10013792,92382,130434,2700,0.0832836646823663,0.00841262507566187
452502,2970752,70892,33878,3600,1.99966036941725,0.00645667351824342
13512099,2829931,37474,32021,1400,0.0150211572926534,0.0011897712131298
11174503,15669381,315301,201809,1900,0.854861703685689,0.0148620151294908
7035249,11281503,104944,119653,3000,1.56011400884721,0.0342085913171331
7080300,9537742,103152,78414,2300,0.387539572693481,0.00918452148644311
11928484,2609443,129,36097,5000,0.667271858961158,0.0165005299876262
1132873,6094085,32987,22301,900,0.619052166287741,0.00252293284815597
743997,5985013,94933,86376,1200,1.97053313074886,0.0094965103609993
941218,5170236,36097,38675,1400,5.63460122052772e-05,0.00106973189308512
15684977,16635765,209125,76,5700,0.128293389876262,0.00924357163806422
12263010,10048534,286826,254370,14600,1.00123304468533,0.0245816901262228
14579157,2428246,259819,60236,1300,0.165766026056413,0.0208481890552977
16172602,13515390,449724,44208,1800,0.0924258975450021,0.00191904948506993
1297586,5040661,61180,378785,2500,0.0990207466956867,0.0107393455111131
11031613,4653539,348555,177180,3700,1.98029132813265,0.0221350052917146
11463834,7649957,56868,500310,3300,1.94521699950118,0.0242191331989492
6161670,7019025,104944,84940,7700,0.026479865106856,0.00714823158108557
12282574,16360352,29941,135470,12116.6666666667,0.105940642984706,0.0170158280725046
13826496,16541871,421704,22301,900,0.0202243961274896,0.0132269428980707
7740093,6226115,94933,14005,3300,0.0122566968866596,0.00812794905849179
11362932,3796710,16376,239736,2500,1.90728908591929,0.0333857987838788
8923832,3684098,118936,32987,3000,1.32674937415695,0.0280463115419578
418743,7147295,19280,29054,2600,1.84565940840876,0.00760779118550525
934204,13484885,36097,378250,1600,0.0800308719694655,0.00708417386728843
3905399,1003675,32987,36097,1000,0.651085664858345,0.0108140169266256
8007372,8446441,149,108124,4500,0.0173637081693613,0.00669353127371541
16165646,13219176,47550,56662,200,0.000189262498029752,0
2215105,8072251,142461,49975,7900,1.87849535247797,0.00512593350251556
6410566,13117031,18290,11538,900,1.784025509625,0.0170493171908971
13548161,7389921,22301,70568,8600,1.95026344299719,0.0147146565308959
5622396,13322875,32987,83864,1100,0.953259931281083,0.025758527125319
1705558,15596622,36097,22301,900,0.163881511180437,0.00508598115235914
16681456,9823751,86376,6986,11400,0.143359239255917,0.0116079731113889
12229204,4187017,119653,29790,2800,1.91999383089634,0.0312363951335296
14222318,5598496,405758,27153,800,0.745909458959532,0.00899336357960734
1434140,14335599,33878,47550,3200,1.88206139637178,0.00590375777877028
1712644,6202409,36097,104944,1000,1.64778368751642,0.0123186922773906
1446339,13122318,33878,17428,2000,1.97131883231605,0.00918118689085257
5648301,12747087,32987,352603,3000,1.9993546503506,0.0259632482880393
1913382,4691533,36097,177180,1700,0.110370643470614,0.00697900204513791
63625,9069809,16,123943,14500,1.95958798425177,0.00714089991493028
4921217,14157986,32987,22301,900,1.22925043625758,0.00663735075219163
14928439,12172827,56662,119653,2800,0.222152228679741,0.00680404281159341
5534361,10935502,23578,30910,5600,0.115567157208059,0.00225153781389353
6191842,11308756,104944,119653,3000,1.57208271288926,0.0342085913171331
13119298,2736183,14005,36097,3300,0.738326109786891,0.0185870428192114
700933,7228809,94933,32987,800,0.184276974734794,0.00512515164767191
7051564,5217051,81579,28852,400,1.77141772270629,0.0130919230573929
6266561,5426036,16,21458,13500,1.72361229019723,0.0111490283973411
1412665,5181267,33878,36097,3600,1.47826131546724,0.0076547194641271
3290688,16144221,29790,22301,700,1.3042158641224,0.00738485730865823
7167478,8250349,26653,94933,9500,0.015623354651795,0.00569064856884116
2629856,7133589,36097,22301,900,0.229213279867713,0.00455198532706746
3897037,15887506,12855,22301,2700,1.99702963084477,0.0129642822747313
12220345,5902080,348733,64380,2800,1.01135277706277,0.0196560665058095
2358086,307257,36211,32987,1300,0.522123031275274,0.00972570593187561
12320421,8172595,56868,27202,4200,0.824567910872041,0.0282434642279829
3992580,8387357,32987,88786,8000,0.850981138463095,0.0119618635674703
3298753,11212394,27153,1050576,3300,1.95935054546852,0.0359376997125918
8361992,13505525,113666,32752,7800,1.9775890591928,0.0100572864868249
6163069,14538368,104944,22301,900,1.99247582209152,0.029860590093215
4002078,1637623,32987,22301,900,0.410952261225589,0.00415293032264541
10805925,1940146,347153,36097,3000,1.72288338685983,0.0128998943030654
8979684,7005935,460235,122545,8900,0.601291183054702,0.0342085913171331
15798876,6293526,409388,104582,1800,1.9060456077494,0.01972217665457
13118851,14350447,14005,47550,2900,0.179599121896898,0.0183218062647875
281271,7827877,19280,94933,2300,1.80686071545557,0.0177438647364642
8670901,4645325,122782,27153,400,1.14381507287001,0.00138485351237649
7358845,861093,115740,33878,8200,0.177117566209377,0.00456672394802904
6719930,9871776,93320,120966,12500,0.260995177831601,0.0203080245797214
3897287,6211085,12855,59212,2600,1.74605404826043,0.0121513306560241
13913229,6120849,14005,104944,3300,1.98462604319246,0.0274697316149511
4952877,6003048,29790,44116,500,1.68707379865547,0.00663735075219163
8603346,4689492,34708,177180,1300,1.1001813881327,0.00116452873977857
10043910,3827962,187121,32987,14400,1.26623150898202,0.00466354220925813
5461934,5277636,12855,25137,3000,7.40516406427805e-06,0.00761792897899494
6556345,3697120,106877,29790,600,0.0118369851852086,0.00341635712749699
15861569,5520476,243736,22301,500,1.98508807167908,0.0253938503312641
10786945,13028084,286826,363492,600,0.195517557805811,0.00122633575421605
10298809,14820740,109043,18027,12000,0.00595307674446732,0.0123197773950643
136454,16654039,22301,86376,900,1.51414420387002,0.0131988619625992
8599445,13114422,94933,1206,4100,1.83278964675012,0.0384434120065045
10982904,11638177,16376,21889,4000,0.632064255527435,0.00827115712234849
11887563,12869255,288345,146217,10600,0.925035727854054,0.00910109957646277
16253160,8304706,22301,76438,6700,1.74732401738544,0.00587056186858825
2439488,12054745,69339,348733,3000,1.85557351059002,0.0239214319700681
5038379,7877964,94058,76,6600,1.583137362726,0.0103089150969605
15303861,1643547,238362,36097,1200,0.220852178876992,0.0060671506477219
3396167,1029722,27383,36097,3200,1.58809938416099,0.00790046635379305
1195431,6645267,109,11538,1400,1.48254387576873,0.00781429050364224
11808592,1162185,1050576,32987,3700,1.55540971915588,0.0359376997125918
8906849,470412,26767,47443,6000,0.197069602786215,0.0180303914541978
10684203,10930889,40585,28651,5900,1.43092214880233,0.0101143179869138
15725261,5304653,19280,36097,2300,0.0384956814890501,0.0143440672035764
2492411,16444956,116214,36097,700,0.0710136477536066,0.00493106288611411
12663244,8699071,109,29790,5200,1.90000671217999,0.02062536775037
12659022,13662574,94593,331854,5500,0.201047731375058,0.0138459313449893
8659204,1972174,122782,32021,800,1.48902077437085,0.00840426886939005
12110325,2644860,33696,32021,1800,1.60731180452993,0.0191967666048276
4878312,14091107,32987,1354119,2500,0.874985373292783,0.00556808157217292
8869132,3449713,81579,27153,200,1.35425691316741,0.00524847971970954
10764680,11098616,310817,368223,10600,1.04536735873653,0.00910109957646277
5387668,2569292,129,36097,5000,1.48633529964342,0.00738363238273787
9512148,1581952,200578,36097,14500,0.231269762316546,0.00831006263848766
7774549,11232179,94933,119653,3000,1.56940604949381,0.0231430901211829
7346207,9509593,94933,120966,12700,0.277963222585519,0.0057857816422241
14767039,7060100,261462,22301,400,1.98768749772447,0.0217536842848003
1748215,7368756,28852,115740,7800,1.4920062491682,0.00669756584244086
4885942,3029030,29790,33878,3400,0.49821534268945,0.0101307233272004
13705771,15541586,279727,18027,1100,0.0695931434533238,0.000596748723279417
11599479,2745573,227059,36097,10200,1.92609595821751,0.00646971755313275
6407180,9884458,18290,150115,10800,1.90383987588966,0.0150540151331973
2153746,9240740,22301,83616,1400,0.134186753757013,0.00543799471121531
12148690,13276582,68909,424791,3000,0.546914003530269,0.0137090853787583
15445101,442113,240809,47443,1000,0.0977062303225655,0.0124600174715335
15829080,1365875,47550,129,4600,1.99741878818624,0.0139936214936854
12285016,13097772,29941,73358,1800,0.0109376112787249,0.00507160737049539
5426187,3835675,21458,32987,1000,0.743499102131275,0.00701928561829368
9984608,5024156,8896,11538,1700,0.304917153275445,0.00656231945578611
2413649,89582,22301,68,6600,0.125666344548466,0.0110917270474803
1881954,6213076,36097,59212,2000,1.09312487310144,0.0208946967917982
9779263,495863,7623,29790,11500,1.38093118738088,0.0162083357453501
5200131,16170296,379281,449724,1900,0.344216906208845,0.00673190996708073
15958250,13824265,44208,37792,1800,0.0525450067564243,0.014346574940901
6594508,8802765,29054,76438,4500,0.207639988444217,0.00851394964621344
15398438,7591220,282823,137811,7600,1.75340884308533,0.00490048882457361
15761567,3050072,19280,27383,1900,1.9893218638145,0.0133490571860796
16459145,6777446,36097,76,6600,0.84327516155198,0.0205156399705916
1907092,14980669,36097,243736,1400,0.374342317562104,0.0128831642858355
2231861,11142353,142458,290057,3500,1.62140570760528,0.0191967666048276
16723428,7873989,409388,94933,2000,1.96352772482536,0.023410451955343
7621778,5316738,27153,28852,200,1.8401381138963,0.00903653664114723
1220500,11903909,41482,381150,2800,1.47986893795634,0.0189073843320889
2477543,2810973,36097,60236,1800,0.0421361015447097,0.00322758324741257
3753936,12269512,32987,348733,3000,1.99968310356334,0.0334037171288099
9478777,7991169,156696,44729,13100,1.95958798425177,0.0170712856924884
3009830,7363763,33878,115740,8200,0.146315204289077,0.00983160781709147
8094339,15646116,104159,14005,3300,0.000612635823174723,0.00424793691596836
1314269,56403,22301,6233,10100,0.0443302283310703,0.0105905356927924
3835560,6696444,32987,103152,800,1.31380663448377,0.00623602888419461
13413067,11706916,129,242191,4600,0.522546080365404,0.0171997976819558
5099173,599423,94058,32987,1000,1.20421684977381,0.00911016450430346
3916782,7928151,32987,84482,600,0.59094856170716,0.00191844966329191
6350424,590389,113715,29790,600,0.576411260487991,0.00171304832834995
14942955,10553985,83864,87892,2100,0.0383766946556761,0.00534780979626759
9211662,2021331,71260,33696,5700,0.562166359758392,0.0150499012756949
11938249,5389695,12855,76,3000,1.9727331046787,0.00531143135897838
14007461,8654234,265368,122782,1300,1.8350739808104,0.00586988569175417
2202527,12328098,36097,348733,3000,1.26354250547225,0.0193314428239814
11027426,7542171,170620,95194,9500,0.702778329323239,0.00827115712234849
5239344,15260420,30162,86376,3400,1.99392320141542,0.00537270314248195
12791883,6288417,207442,133617,2400,1.30477122714693,0.0219370105779473
16065275,13618573,47385,22301,1700,0.0231873241828591,0.00478381220820445
15065093,7189783,337188,31700,5600,0.229493834263823,0.0325540216307507
11405604,2093721,73358,32021,5800,0.789700863130907,0.0211245167187749
1195972,10428742,76,304742,6400,1.08987776542679,0.0115410474263323
