"V1","V2","weight","height","size1","size1mean","size1norm"
"L2_116214","L3_36097","700","1000","16879",22083.3714285714,0.764330756949638
"L2_142458","L3_36097","700","1000","13028",22083.3714285714,0.589946152114455
"L2_142461","L3_36097","700","1000","22938",22083.3714285714,1.0387000949648
"L2_177180","L3_44500","700","1000","108343",22083.3714285714,4.9060896498723
"L2_188256","L3_33878","700","1000","19760",22083.3714285714,0.894790909255574
"L2_239736","L3_32987","700","1000","16734",22083.3714285714,0.757764730540627
"L2_276969","L3_33878","700","1000","16411",22083.3714285714,0.743138340677795
"L2_309707","L3_36097","700","1000","27115",22083.3714285714,1.22784693848507
"L2_370219","L3_33878","700","1000","11410",22083.3714285714,0.516678353978042
"L2_378785","L3_94058","700","1000","10836",22083.3714285714,0.490685945986508
"L2_378983","L3_94058","700","1000","11785",22083.3714285714,0.533659456759967
"L2_379281","L3_94058","700","1000","10719",22083.3714285714,0.485387841918548
"L2_406737","L3_85330","700","1000","39149",22083.3714285714,1.77278184749223
"L2_435524","L3_55598","700","1000","38146",22083.3714285714,1.72736305791818
"L2_445995","L3_113715","700","1000","12712",22083.3714285714,0.575636742836886
"L2_454470","L3_32987","700","1000","16422",22083.3714285714,0.743636453026065
"L2_458566","L3_118753","700","1000","77819",22083.3714285714,3.52387316636435
"L2_460235","L3_118936","700","1000","15829",22083.3714285714,0.716783669160247
"L2_500310","L3_94933","700","1000","14351",22083.3714285714,0.649855482729086
"L2_520586","L3_108124","700","1000","15263",22083.3714285714,0.691153524694728
"L2_550999","L3_129065","700","1000","14265",22083.3714285714,0.645961149824432
"L2_552409","L3_123943","700","1000","10889",22083.3714285714,0.493085941846354
"L2_769730","L3_242734","700","1000","17303",22083.3714285714,0.783530723828401
"L2_1007507","L3_346720","700","1000","23132",22083.3714285714,1.04748498547065
"L2_1020712","L3_352603","700","1000","20561",22083.3714285714,0.931062544797767
"L2_1038351","L3_357292","700","1000","11937",22083.3714285714,0.54054246375424
"L2_1048764","L3_119653","700","1000","16822",22083.3714285714,0.761749629326785
"L2_1050576","L3_119653","700","1000","42935",22083.3714285714,1.94422306117855
"L2_1051646","L3_119653","700","1000","13300",22083.3714285714,0.602263111998944
"L2_1119096","L3_146217","700","1000","11799",22083.3714285714,0.534293417930492
"L2_1223244","L3_70840","700","1000","12894",22083.3714285714,0.583878238053713
"L2_1254512","L3_424791","700","1000","19719",22083.3714285714,0.892934308684751
"L2_1314791","L3_449724","700","1000","13788",22083.3714285714,0.624361187085823
"L2_1350826","L3_455843","700","1000","11896",22083.3714285714,0.538685863183417
"L2_1354119","L3_401522","700","1000","16029",22083.3714285714,0.725840257310607
